1, 3
2, 3
3, 3
4, 3
5, 3
6, 3
7, 3
1, 5
2, 5
3, 5
4, 5
5, 5
6, 5
7, 5
8, 5
1, 7
2, 7
3, 7
4, 7
5, 7
6, 7
7, 7
1, 9
2, 9
3, 9
4, 9
5, 9
6, 9
1, 11
2, 11
3, 11
4, 11
5, 11
6, 11
7, 11
1, 13
2, 13
3, 13
4, 13
5, 13
6, 13
1, 15
2, 15
3, 15
4, 15
5, 15
6, 15
7, 15
1, 17
2, 17
3, 17
4, 17
5, 17
6, 17
7, 17
1, 19
2, 19
3, 19
4, 19
5, 19
6, 19
1, 21
2, 21
3, 21
4, 21
5, 21
6, 21
7, 21
1, 23
2, 23
3, 23
4, 23
5, 23
6, 23
1, 25
2, 25
3, 25
4, 25
5, 25
6, 25
7, 25
1, 27
2, 27
3, 27
4, 27
5, 27
6, 27
7, 27
8, 27
1, 29
2, 29
3, 29
4, 29
5, 29
6, 29
7, 29
8, 29
1, 31
2, 31
3, 31
4, 31
5, 31
6, 31
7, 31
8, 31
1, 33
2, 33
3, 33
4, 33
5, 33
6, 33
7, 33
8, 33
1, 35
2, 35
3, 35
4, 35
5, 35
6, 35
7, 35
8, 35
1, 37
2, 37
3, 37
4, 37
5, 37
6, 37
7, 37
8, 37
9, 37
1, 39
2, 39
3, 39
4, 39
5, 39
6, 39
7, 39
8, 39
9, 39
10, 39
1, 41
2, 41
3, 41
4, 41
5, 41
6, 41
7, 41
8, 41
9, 41
10, 41
1, 43
2, 43
3, 43
4, 43
5, 43
6, 43
7, 43
8, 43
9, 43
10, 43
1, 45
2, 45
3, 45
4, 45
5, 45
6, 45
7, 45
8, 45
9, 45
10, 45
11, 45
12, 45
1, 47
2, 47
3, 47
4, 47
5, 47
6, 47
7, 47
8, 47
9, 47
10, 47
11, 47
12, 47
1, 49
2, 49
3, 49
4, 49
5, 49
6, 49
7, 49
8, 49
9, 49
10, 49
11, 49
12, 49
13, 49
14, 49
1, 51
2, 51
3, 51
4, 51
5, 51
6, 51
7, 51
8, 51
9, 51
10, 51
11, 51
12, 51
13, 51
1, 53
2, 53
3, 53
4, 53
5, 53
6, 53
7, 53
8, 53
9, 53
10, 53
11, 53
12, 53
13, 53
14, 53
1, 55
2, 55
3, 55
4, 55
5, 55
6, 55
7, 55
8, 55
9, 55
10, 55
11, 55
12, 55
13, 55
1, 57
2, 57
3, 57
4, 57
5, 57
6, 57
7, 57
8, 57
9, 57
10, 57
11, 57
12, 57
13, 57
14, 57
15, 57
1, 59
2, 59
3, 59
4, 59
5, 59
6, 59
7, 59
8, 59
9, 59
10, 59
11, 59
12, 59
13, 59
14, 59
15, 59
16, 59
17, 59
18, 59
19, 59
20, 59
21, 59
22, 59
23, 59
24, 59
25, 59
26, 59
27, 59
28, 59
29, 59
30, 59
31, 59
32, 59
33, 59
34, 59
35, 59
36, 59
37, 59
38, 59
39, 59
40, 59
41, 59
42, 59
1, 61
2, 61
3, 61
4, 61
5, 61
6, 61
7, 61
8, 61
9, 61
10, 61
11, 61
12, 61
13, 61
14, 61
15, 61
16, 61
17, 61
18, 61
19, 61
20, 61
21, 61
22, 61
23, 61
24, 61
25, 61
26, 61
27, 61
28, 61
29, 61
30, 61
31, 61
32, 61
33, 61
34, 61
35, 61
36, 61
37, 61
38, 61
39, 61
40, 61
1, 63
2, 63
3, 63
4, 63
5, 63
6, 63
7, 63
8, 63
9, 63
10, 63
11, 63
12, 63
13, 63
14, 63
15, 63
16, 63
17, 63
18, 63
19, 63
20, 63
21, 63
22, 63
23, 63
24, 63
25, 63
26, 63
27, 63
28, 63
29, 63
30, 63
31, 63
32, 63
33, 63
34, 63
35, 63
36, 63
37, 63
38, 63
39, 63
40, 63
41, 63
42, 63
43, 63
1, 65
2, 65
3, 65
4, 65
5, 65
6, 65
7, 65
8, 65
9, 65
10, 65
11, 65
12, 65
13, 65
14, 65
15, 65
16, 65
17, 65
18, 65
19, 65
20, 65
21, 65
22, 65
23, 65
24, 65
25, 65
26, 65
27, 65
28, 65
29, 65
30, 65
31, 65
32, 65
33, 65
34, 65
35, 65
36, 65
37, 65
38, 65
39, 65
40, 65
41, 65
42, 65
43, 65
44, 65
45, 65
46, 65
47, 65
1, 67
2, 67
3, 67
4, 67
5, 67
6, 67
7, 67
8, 67
9, 67
10, 67
11, 67
12, 67
13, 67
14, 67
15, 67
16, 67
17, 67
18, 67
19, 67
20, 67
21, 67
22, 67
23, 67
24, 67
25, 67
26, 67
27, 67
28, 67
29, 67
30, 67
31, 67
32, 67
33, 67
34, 67
35, 67
36, 67
37, 67
38, 67
39, 67
40, 67
41, 67
42, 67
43, 67
44, 67
45, 67
46, 67
1, 69
2, 69
3, 69
4, 69
5, 69
6, 69
7, 69
8, 69
9, 69
10, 69
11, 69
12, 69
13, 69
14, 69
15, 69
16, 69
17, 69
18, 69
19, 69
20, 69
21, 69
22, 69
